1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1148,813,610,596,795,545,619,639,216,74,28,174,457,297,98,461,261,509,110,236,0,0,0,0,0,0
586,114,211,84,264,180,67,183,2,18,27,0,76,67,41,93,49,61,65,173,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,1,3,42,22,2,0,58,0,1,20,38,7,0,71,5,45,0,1,0,0,0,0,0,0
204,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0
129,230,263,504,478,343,549,455,154,53,0,137,342,218,52,168,121,115,44,59,0,0,0,0,0,0
215,399,135,5,11,0,1,1,2,2,0,17,1,5,5,129,84,286,1,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,7,8,5,2,3,0,3,1,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,7,8,5,2,3,0,3,1,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,6,3,2,1,1,0,2,1,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
999,909,987,868,1211,893,801,575,391,383,344,534,449,893,516,596,662,710,457,455,387,1115,0,0,0,0
543,377,624,516,631,526,648,339,108,168,69,131,342,694,358,298,438,359,192,347,275,872,0,0,0,0
100,31,1,5,53,0,0,0,20,0,0,7,67,230,1,0,52,82,0,0,20,73,0,0,0,0
62,104,264,424,521,385,526,285,48,104,32,78,53,276,206,1,68,35,45,27,68,33,0,0,0,0
